Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,9972.700195,10044.349609,9893.849609,10034.450195,10034.450195,864000
2021-09-01,10049.099609,10088.650391,10010.599609,10043.900391,10043.900391,876400
2021-09-02,10082.950195,10083.500000,9981.299805,10022.450195,10022.450195,624100
2021-09-03,10054.049805,10195.900391,10042.549805,10124.750000,10124.750000,1401700
2021-09-06,10185.200195,10214.400391,10156.099609,10167.250000,10167.250000,681100
2021-09-07,10189.349609,10204.049805,10115.549805,10152.700195,10152.700195,560000
2021-09-08,10152.099609,10154.450195,10047.150391,10100.400391,10100.400391,537800
2021-09-09,10070.950195,10144.299805,10054.349609,10112.599609,10112.599609,890900
2021-09-13,10119.950195,10125.799805,10045.000000,10120.150391,10120.150391,425500
2021-09-14,10151.250000,10246.750000,10149.349609,10209.599609,10209.599609,624900
2021-09-15,10239.950195,10309.599609,10222.950195,10297.000000,10297.000000,660100
2021-09-16,10343.200195,10358.700195,10300.450195,10351.450195,10351.450195,486700
2021-09-17,10392.099609,10469.849609,10284.450195,10351.450195,10351.450195,579500
2021-09-20,10286.950195,10348.049805,10176.400391,10202.650391,10202.650391,495000
2021-09-21,10196.950195,10226.400391,10021.349609,10155.950195,10155.950195,468400
2021-09-22,10179.500000,10314.000000,10174.150391,10284.599609,10284.599609,625500
2021-09-23,10337.750000,10404.450195,10333.250000,10372.950195,10372.950195,762100
2021-09-24,10403.400391,10473.900391,10341.750000,10429.049805,10429.049805,568000
2021-09-27,10513.049805,10801.000000,10501.049805,10765.150391,10765.150391,1159100
2021-09-28,10824.450195,10842.349609,10608.750000,10695.950195,10695.950195,639400
2021-09-29,10640.099609,10715.650391,10559.400391,10655.500000,10655.500000,522800
2021-09-30,10652.150391,10676.150391,10561.750000,10598.450195,10598.450195,828600
2021-10-01,10544.849609,10617.849609,10437.099609,10596.950195,10596.950195,775600
2021-10-04,10649.400391,10695.450195,10616.400391,10641.150391,10641.150391,597800
2021-10-05,10624.450195,10728.099609,10599.950195,10692.000000,10692.000000,583700
2021-10-06,10722.650391,10766.900391,10535.099609,10567.549805,10567.549805,533600
2021-10-07,10659.700195,11091.450195,10639.450195,11031.799805,11031.799805,2353800
2021-10-08,11147.750000,11206.950195,11054.650391,11079.349609,11079.349609,1250600
2021-10-11,11136.549805,11444.700195,11125.049805,11375.549805,11375.549805,1522000
2021-10-12,11400.150391,11525.500000,11374.099609,11476.099609,11476.099609,1320500
2021-10-13,11687.549805,12001.900391,11603.099609,11870.000000,11870.000000,2895000
2021-10-14,12005.950195,12014.500000,11775.500000,11800.299805,11800.299805,1351000
2021-10-18,11862.799805,11964.549805,11796.849609,11814.799805,11814.799805,1202600
2021-10-19,11859.200195,11892.049805,11580.750000,11626.849609,11626.849609,916600
2021-10-20,11598.650391,11648.900391,11388.849609,11493.299805,11493.299805,876500
2021-10-21,11588.049805,11602.049805,11392.500000,11557.400391,11557.400391,786100
2021-10-22,11634.650391,11641.349609,11380.799805,11433.950195,11433.950195,903800
2021-10-25,11417.849609,11445.650391,11177.750000,11228.200195,11228.200195,606000
2021-10-26,11269.700195,11466.799805,11258.849609,11452.250000,11452.250000,828400
2021-10-27,11466.950195,11491.150391,11364.450195,11395.150391,11395.150391,530000
2021-10-28,11380.799805,11449.099609,11223.450195,11260.900391,11260.900391,626100
2021-10-29,11262.950195,11413.150391,11070.650391,11297.450195,11297.450195,640000
2021-11-01,11306.450195,11460.150391,11205.250000,11421.000000,11421.000000,661100
2021-11-02,11534.400391,11610.349609,11487.500000,11521.250000,11521.250000,850000
2021-11-03,11515.099609,11560.950195,11366.950195,11401.200195,11401.200195,470500
2021-11-04,11480.799805,11590.200195,11471.000000,11569.799805,11569.799805,113500
2021-11-08,11645.849609,11684.250000,11602.500000,11645.750000,11645.750000,722900
2021-11-09,11701.250000,11824.900391,11691.349609,11766.250000,11766.250000,1314300
